,title,artist,lyrics,likes
0,Under the weather,Osshun Gum,"억보다는 Love 모여 나는 Bird
파도 위를 Surf 핸들 틀어 Curv
푸른 행성 Earth 적어가는 Verse
벌써 내일 Thursday 밤 하늘의 별

You are the only one I trust
Give me love fill my heart
겁이라면 날 못 꺾어
Pull up Pull up all eyes on me
Time flies with a cheap whisky

불신
국가의 예의 주시
이만한 새벽 두시
인마 다 그만두긴

봄을 기다리는 겨울
나의 국적 다운 허울
Boogie Boogie oh
옮겨 씨 우에호
손엔 Key 귀엔 buds
Bang Bang They make me cry


석방까진 영원
내 마음 바다만큼 넓어
800일의 Bulking
Air by Air 빛을 내는 별 이지

서로 숨김없는 악수
순둥한 북극곰
충분한 웃음꽃
궁금한 물음표

억보다는 Love 모여 나는 Bird
파도 위를 Surf 핸들 틀어 Curv
푸른 행성 Earth 적어가는 Verse
벌써 내일 Thursday 밤 하늘의 별

Love and respect
인생의 모토 되겠지 긴 생
빈손으로 가지 않을게 집에
초대해 줘 널 느낄 수 있게

가볍게 나눠 마시는 Whisky
대답을 듣고 싶어 miss me?
전부 녹아 사라져 아이스크림
자유를 위해 내 피를 씻어내

나른해 적은 괴롭지
마음 닮은 멜로디
떠올랐지 해돋이

억보다는 Love 모여 나는 Bird
파도 위를 Surf 핸들 틀어 Curv
푸른 행성 Earth 적어가는 Verse
벌써 내일 Thursday 밤 하늘의 별",20
1,"KARIUS (Feat. Hollow Young, 아우릴고트 (OUREALGOAT))",J Way,"(J Way is the truth)

i got 99 problems that you don't like
but we got f hard babe, till the 9 to 5
잠이 오겠니 밤부터 해 뜰 때까지
i don't talk nobody without pillow, alright

yeah, it's obvious
키퍼 있어도 넣어 like KARIUS
yeah, it's obvious
don't acting 여긴 not Hollywood

yeah, it's obvious
키퍼 있어도 넣어 like KARIUS
yeah, it's obvious
don‘t acting 여긴 not Hollywood

why you control your emotions I'm not cob
there's something only you and i know
i know you want some more jack but another coke
don't call your man until tomorrow

cigarette 말곤 no light
하루만 keep it a private yeah
i do f with freestyle
so make some beats with your booty yeah

하루 만에 바뀌어버렸어 나의 호칭이 자기로
하루 만에 바뀌어버렸어 너의 호칭이 b로

bae we don't need gasoline
you just keep move for me
다 연애할 때 우린 알아가지 chemistry

bae we don't need gasoline
you just keep move for me
다 연애할때 우린 알아가지 chemistry

i got 99 problems that you don't like
but we got f hard babe, till the 9 to 5
잠이 오겠니 밤부터 해 뜰 때까지
i don't talk nobody without pillow, alright

yeah, it's obvious
키퍼 있어도 넣어 like KARIUS
yeah, it's obvious
don't acting 여긴 not Hollywood

yeah, it's obvious
키퍼 있어도 넣어 like KARIUS
yeah, it's obvious
don‘t acting 여긴 not Hollywood

너 아님 안 되잖아
비싸게 굴지 마
잠들 수 없어 이 밤
혼자는 너무 길잖아

나도 모르게 또 취해서
못 볼 꼴을 보였네

오늘 일어난 일은 서로
비밀로 하면 돼

원래 이런 관계는 다 똑같아
누가 널 찾길래 왜 또 숨 가빠해
지금은 누구도 우릴 못 찾아
이 방을 어지럽혀 아수라장

bae we don't need gasoline
you just keep move for me
다 연애할 때 우린 알아가지 chemistry

bae we don't need gasoline
you just keep move for me
다 연애할때 우린 알아가지 chemistry

i got 99 problems that you don't like
but we got f hard babe, till the 9 to 5
잠이 오겠니 밤부터 해 뜰 때까지
i don't talk nobody without pillow, alright

yeah, it's obvious
키퍼 있어도 넣어 like KARIUS
yeah, it's obvious
don't acting 여긴 not Hollywood

yeah, it's obvious
키퍼 있어도 넣어 like KARIUS
yeah, it's obvious
don‘t acting 여긴 not Hollywood

(J Way is the truth)",12
2,My Life,민성,"Let's get rid of myself in the past
Let's get rid of myself in the past

이젠 바뀌어 버린 나
세월이 흘러서 지난
나의 모습이 정말
참 많이 바뀌었지 난
예전 같지 않아
이젠 멀리 봐야지 저 멀리 Far Away

하고 싶었던 게 많았던 아이
순수한 감정을 놓치지 않아
그 말 즉시 초심 잃지 않아
나의 창피한 모습 저 멀리로
너네도 되돌아봐 Feel it on
정상을 찍어 저 위치로
나를 느껴봐 My Life

My Life 항상 많이 부족했던 삶
My Life 항상 많이 부족했던 삶
그 아이 정말 참 가득해 순수한 마음

꿈을 향해 저 위로
Good Life 마치 My Life
꿈을 향해 저 위로
Good Life 마치 My Life

Let's get rid of myself in the past
Let's get rid of myself in the past
Let's get rid of myself in the past
Let's get rid of myself in the past

이젠 바뀌어 버린 나
세월이 흘러서 지난
나의 모습이 정말
참 많이 바뀌었지 난
예전 같지 않아
이젠 멀리 봐야지 저 멀리 Far Away

나의 득이 되는 사람들만 이리로
이기적인 건 어쩔 수 없어 위치로
너네들이 살고 있는 게 찐 인생 맞아
새롭게 다시 태어나자
Real Life 난 원해 새로운 삶
나를 느껴봐 My Life

My Life 항상 많이 부족했던 삶
My Life 항상 많이 부족했던 삶
그 아이 정말 참 가득해 순수한 마음

꿈을 향해 저 위로
Good Life 마치 My Life
꿈을 향해 저 위로
Good Life 마치 My Life

Let's get rid of myself in the past
Let's get rid of myself in the past
Let's get rid of myself in the past
Let's get rid of myself in the past

My Life 항상 많이 부족했던 삶
My Life 항상 많이 부족했던 삶
그 아이 정말 참 가득해 순수한 마음

꿈을 향해 저 위로
Good Life 마치 My Life
꿈을 향해 저 위로
Good Life 마치 My Life",1
3,VIP (Drive-Thru),BassAce,"백화점 VIP
버버리 코너 스윗 향수
너만의 wish list를
선택의 순간 손끝에 떨림

향긋한 냄새 믹스된 향기
식욕 자극 넘버원 DJ
백미러 속 내 모습
포르쉐 엔진 소리

Drive Thru, 맛의 레이스
쏜살같이 질주하는 미각
Drive Thru, 24/7
언제든 즐기는 나만의 무대

종이봉투 럭셔리백
프렌치 프라이 황금 지팡이
콜라 거품은 샴페인
오늘 밤 나는 美식가

주문부터 수령까지 원스톱
효율의 극치, 시간의 마법
잠깐의 기다림, 영원한 만족
이게 바로 Drive Thru의 매력

Drive Thru, 맛의 레이스
쏜살같이 질주하는 미각
Drive Thru, 24/7
푸드 문화의 새로운 혁명

Mornings start with Balenciaga sneakers
Louis Vuitton briefcase, business in my hands
Cartier watch, making every moment precious
Rolex collection, art on my wrist
I'm a VIP, chasing the peak of luxury
From Chanel to Dior, my closet's a museum
I'm a VIP, there are no limits
Prada, Hermès, the pinnacle of my style
Lanvin suit, deciding the day with a perfect fit
Signing million-dollar contracts with a Montblanc pen
Bentley keys, power in my palm
Armani perfume, the signature of my presence
Stepping on the red carpet in Ferragamo shoes
Tiffany jewelry, dazzling flashes
Saint Laurent sunglasses, seeing the world my way
Bottega Veneta wallet, holding infinite possibilities",0
4,FXXK,Lil Liputian,"아무것도 아닌것 처럼 하지말고
공부대신 난 랩을 선택
맨날 똑같은 랩 이젠 좀 지겹지
아무것도 없던 내인생이 변하게된 계기
이게 18의 패기
아무도 못막아
두배로 벌고 나가 이 Street
아무도 날 쫒지 못해 stuff
나 혼자 여까지 왔는데
너네는 어케 날 이길건데
앞뒤 다르게 행동 하지마 제발
Lil Liputian 이거 한개만 기억해
난 또 돈 벌러가
저런걸 듣고 좋다는 너넨 눈이 멀었나
넌 가짜뉴스 만들고 돈이나 뜯어 like 구제역
더 많은곡을 내는게 내 목표
처음부터 난 래퍼라는게 내 족보
너네는 묶여 마치 포승줄
절대 지게 안해 이런 나는 버슨줄
더높은곳을 향해
High High High
다르게
Why Why Why
이제는 아무도 날 따라못해",0
5,Balloon,MINDPRESET,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기",3
6,갈망 (feat.YJ),YCPLAYER,"술을 한잔 먹으면 더
먹고 싶어 지지 그러다 벌써
밤은 저물어 해는 떠 있어
탁자 위 소주병 늘어져 있어
그래 한잔이 한잔이 두잔이 세잔이 되고
그래 그렇게 한병이 두병이 세병이 되고
지겹게도 같은데 매일 반복 되고
이런데도 한방울을 계속 원해 중독 되고
이게 너랑 같아 너에게 갈망 하자나
헤어나오지 못해 너를 생각 한다나
알잖아 내가 너를 잊지 못하다는거
잊지 못하므로 난 잠식 당했다는거
이제 너에게서 자유로워 지고 싶어
다시는 너를 찾지 않고 싶어 널 지워
널 미워 하면 할수록 머릿속의 기억이
맴돌아서 미치겠어 진절머리나 이거

(YJ)
그런 너를 왜 내가
나조차도 이해가 안가
너로 인해서 난 목 말라
근데 계속 찾게 되지 널 갈망해
이런 너를 왜 내가
나조차도 이해가 안가
너로 인해서 난 목 말라
근데 계속 갈망 하지 널 찾아서

담배 한모금 이면 더
계속 피고 싶어져 또 다 폈어
까맣게 타 들어간 담배 였어
재떨이 위에 한 가득 쌓였어
그래 한갑이 한갑이 두갑이 세갑이 되고
그래 그렇게 한갑이 두갑이 세갑이 되고
지겹게도 습관처럼 계속 피워 대고
자욱하게 쌓인 담배 연기 속으로 잠식되고
너와 같애 왜 계속 찾게 되는 거야 goddamn
이 밤에 왜 더 생각 나는 거야 나 한테
지금 삶에 너로 가득 차있어 내 안엔
그래 방해가 되고 있어도 널 갈망해
이젠 머릿속을 하얗게 지우고 싶어
다시는 너를 찾지 않고 싶어 널 미워
하면 할수록 다시 감겨 돌아와 더 미련
이 남아 맴돌아 제자리야 이건 미저리

(YJ)
그런 너를 왜 내가
나조차도 이해가 안가
너로 인해서 난 목 말라
근데 계속 찾게 되지 널 갈망해
이런 너를 왜 내가
나조차도 이해가 안가
너로 인해서 난 목 말라
근데 계속 갈망 하지 널 찾아서

(YJ)
너는 나없이도 잘
사는거 같지만
나는 너없이 잘 못살아
안 그런척 하지만
내가 바보 같고 초라해 보여
너의 모습 그대로 계속 고여
지금 너의 조각들이 내게 모여
난 괴로워 하지 매일 밤",0
7,겨울의 여유,Star Whale,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기",0
8,Universe,O.T.O,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기",0
9,Highway,A.C.E(에이스),"(Chorus)
이 도로를 뚫어버려 highway
더이상 안 막히지 highway
나로인해 막혔었지만 이젠 걱정말아요 그대들의 highway
슬픔과 걱정뿐인 highway
꽉차버린 스트레스 highway
이제부턴 나를 믿고 맡겨줘 highway

(Verse1)
태어날때 어루 만지던 손
행복해보인 그들의 미소
kind baby 덕분에 시원하게 뚫린 고속도로속의 복
복인줄 알았던 boy는 커서 되려 독이되어 고속도로속을 콕콕 찔러 속썩이기 시작한 종말의 show
목소리 듣기 싫다했잖아
날 찾지도 부르지도 말라했잖아
하지만 오히려 그들은 더욱 나를 붙잡아 놓치지 않으려 애썼잖아
but 그럴수록 틀어져간다 막혔던 고속도로는 더욱 견고하게 막혀 상처만 받잖아
그대들은 답답해 고속도로는 갑갑해 그 아이는 바뀌지 않을까 그저 앞날이 막막해
더욱더 까맣게만 남았네 방파제 역할인 그들의 눈엔 그저 철없는 la-la레

(Pre-Chorus)
difficult in your road
지저분한 inside mud
내가 감당하고 함께 행복해지자고 우리모두
부끄러운 나의 모습
이젠없어 그런놈은
이제는 몰두 이제는 love

(Chorus)
이 도로를 뚫어버려 highway
더이상 안 막히지 highway
나로인해 막혔었지만 이젠 걱정말아요 그대들의 highway
슬픔과 걱정뿐인 highway
꽉차버린 스트레스 highway
이제부턴 나를 믿고 맡겨줘 highway

(Verse2)
이제는 커버린 나란놈의 정신머리는 과거 행실에 목매여 양심의 가책을 느껴 되뇌이며 그들의 답답함을 공감해
철없이 지나간지 오래 black inside me mirror속을 빛추는건 다름아닌 killer라는 수식어의 꼬리표가 붙어
이제는 생각을해 그러지 않기로 약속을해
더이상 그들이 희생하지않고 내가 책임진다고 다짐을해
더이상 막히지않아 반드시 뚫릴거라고 맹새를해
다시한번 감사하며 이런 나도 할수있다 보여주며 버틴무게에 경의를표해
woo money money 주라했던 me
dirty dirty 더러웠던 길
거리거리 distant we
여기저기 막히고 난 뒤
철없던 아이는 던져버려
붐비는 고속도로 날려버려
wandering in the dark 그대들 살려내며

(Pre-Chorus)
difficult in your road
지저분한 inside mud
내가 감당하고 함께 행복해지자고 우리모두
부끄러운 나의 모습
이젠없어 그런놈은
이제는 몰두 이제는 love

(Chorus)
이 도로를 뚫어버려 highway
더이상 안 막히지 highway
나로인해 막혔었지만 이젠 걱정말아요 그대들의 highway
슬픔과 걱정뿐인 highway
꽉차버린 스트레스 highway
이제부턴 나를 믿고 맡겨줘 highway

(Bridge)
run it up run it up 이제는 제대로
패기로 패기로 이뤄내 모든걸
버티며 버티며 계속해 나아가
come here family
medical medical 그대들 치료해
official official monition 선언해
어린놈 버팀목 되기로 선언해 개방해 potional ability
해내보인다던 아이
책임지겠다던 말이
Don’t worry just trust me mommy and daddy fly
anymore there’s no fools say it again?
I will never get tired for you guys

(Chorus)
이 도로를 뚫어버려 highway
더이상 안 막히지 highway
나로인해 막혔었지만 이젠 걱정말아요 그대들의 highway
슬픔과 걱정뿐인 highway
꽉차버린 스트레스 highway
이제부턴 나를 믿고 맡겨줘 highway
이 도로를 뚫어버려 highway
더이상 안 막히지 highway
나로인해 막혔었지만 이젠 걱정말아요 그대들의 highway
슬픔과 걱정뿐인 highway
꽉차버린 스트레스 highway
이제부턴 나를 믿고 맡겨줘 highway",0
