,제목,가수,가사,좋아요
0,toxic till the end,로제(ROSÉ),"Call us what we are
Toxic from the start
Can't pretend that I was in the dark 
When you met my friends
Didn't even try with them
I should've known it then that you were 

Jealous and possessive 
So manipulating 
Honestly impressive
You had me participating 

Back then
When I was running out of your place 
I said
I never wanna see your face
And then
I couldn't wait to see it again
We were toxic till the end 

Uh huh
Cuz even when I said it was over
You heard Baby can you pull me in closer 
You were
Plotting how to stay in my head
We were toxic till the end 

Ladies & Gentleman
I present to you, the ex 

His favorite game is chess
Who would ever guess
Playing with the pieces in my chest
Now he's on the screen
Saying don't leave
You stole that line from me
Cuz you're just 

Jealous and possessive 
So manipulating 
Honestly impressive
You had me participating 

Back then
When I was running out of your place 
I said
I never wanna see your face
I meant
I couldn't wait to see it again
We were toxic till the end 

Uh huh
Cuz even when I said it was over
You heard Baby can you pull me in closer 
You were
Plotting how to stay in my head
We were toxic till the end 

End end 

I can't forgive you for a lot of things
For not giving me back my Tiffany rings 
I'll never forgive you for one thing my dear 
You wasted my prettiest years 

Back then
When I was running out of your place 
I said
I never wanna see your face
I meant
I couldn't wait to see it again
We were toxic 

Uh huh
Cuz even when I said it was over
You heard Baby can you pull me in closer 
You were
Plotting how to stay in my head
We were toxic till the end 

End end
We were toxic till the end
End end
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,822"
1,Whiplash,aespa,"One look give 'em Whiplash
Beat drop with a big flash

집중해 좀 더
Think fast
이유 넌 이해 못 해
왜 이제야
Know I did that
Day 1 know I been bad
Don't stop
흔들린 채
무리해도
Can't touch that
(Can't touch that)

Under pressure,
body sweating
Can you focus
어디서나 거침없어
I'm the coldest
오직 나만이
이 판을 바꿀 Changer
Just close your eyes,
breathe in and visualize

One look give 'em Whiplash
Beat drop with a big flash

집중해 좀 더
Think fast
이유 넌 이해 못 해
왜 이제야
Know I did that
Day 1 know I been bad
Don't stop
흔들린 채
무리해도
Can't touch that
(Can't touch that)

Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
One look give 'em Whiplash

Fancy
이건 참 화려해
It's glowing and it's flashy
알아 적당함이 뭔지
Keep it classy
따라 하지
넌 또 하나부터 열까지
아닌척하지
Yeah

Under pressure,
body sweating
Can you focus
(Hoo)
I deliver, I can promise
I'm the coldest
(Cold)
외면해도 소용없지
Don't you blow it
Just close your eyes,
breathe in and visualize

시작되는 순간
끝나버린 판단
기횐 오직 One time
Unforgettable

찾아낸 The right light
사라지지 않아
눈에 새긴 One time
Unforgettable

One look give 'em Whiplash
Beat drop with a big flash

집중해 좀 더
Think fast
이유 넌 이해 못 해
왜 이제야
Know I did that
Day 1 know I been bad
Don't stop
흔들린 채
무리해도
Can't touch that
(Can't touch that)

I'm the highlight
비춰 Red light
Yeah Tonight,
it's all about me
(All about me)
You know it's my site 
거친 Next sigh
만들어갈 History

One look give 'em Whiplash
(Whip-Whip)
Beat drop with a big flash
따라와 어서 Move fast
(Move move move)
이유 넌 이해 못 해
왜 이제야
Know I did that
(Did that)
Day 1 know I been bad
(Been bad)
Don't stop
흔들린 채
다가와도
Can't touch that
(Can't touch that)

Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
Whip-Whiplash
One look give 'em Whiplash
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","2,439"
2,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"You say, It’s changed
Show must go on, Behave
오랜만에 옛 노래해
I’m feelin’ like I never left
(That’s right) I never left

But you ain’t know, O.K then lights camera, Act like you know
Don’t play on me no we’re
Air B&B, You’re ‘Home-less’
혼비백산-해진-미-장센 (mise-en-scène)
도레미파시도 (Now you know it)

두껍아 두껍아 Came with the troops
뜯고 맛보고 즐기고 big bang when I shoot
‘King’ in the Zoo, He gotta do what I do
1 of 1, not of them (mirror)
Man in the ‘Views’ Aimin’ at you?!
Yea, I’m aiming at a man & Amen achoo
Bless you all ‘Cleaned house’ Foo

Golden days are still alive
외롭다는 말하지 마
내가 있는 곳, 네가 있을 곳

The place that I belong 

HOME SWEET HOME
HOME SICK HOME
Well I said, I would be back
And I’d never let you go
Pick a petal off a flower
Daze you love me Nope? 
Well I said, I would be back
And I’d never let you go
Pick a petal off a flower
Do you love me or (STOP!)

Winner winner chicken killer, 삼계탕 dinner
하나 둘 set down (1, 2 step) ‘Fantastic’한 팀워크
Not mini, 많이. ‘More’
Rock, scissors, paper. ‘Toast’
This is how we do it just do it let’s do it y’all

Work- work- 월화수목금토- 일
They gon’ wait til’ I’m gone
So I came, I saw, I won
‘G just D’ Word is my bond

나 무대로 올라, Coup d’e shh
단숨에 호흡곤란, Hook catch this
아 ‘무제’ 도 몰라? Bull as shh
Whatever?! ‘Now or Never’

Golden days are still alive
외롭다는 말하지 마
네가 있을 곳에 내가 있는 걸

The place that I belong
 
HOME SWEET HOME
HOME SICK HOME
Well I said, I would be back
And I’d never let you go
Pick a petal off a flower
Daze you love me Nope? 
Well I said, I would be back
And I’d never let you go
Pick a petal off a flower
Do you love me or (STOP!)

We alike dead or alive, Your life? Still-life
It’s so nice, I missed u a lot, You’re welcome Back home, Wherever you are
We alike dead or alive, Your life is still with me Livin’ good-life, Day or Nights,
The high-light, It’s about time to ‘ROCK-ON’

HOME SWEET HOME
HOME SICK HOME
Well I said, I would be back
And I’d never let you go
Pick a petal off a flower
Daze you love me Nope? 
Well I said, I would be back
And I’d never let you go
Pick a petal off a flower
Do you love me or (STOP!)
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","2,222"
3,APT.,로제(ROSÉ),"아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh
 
아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh 

Kissy face, kissy face 
Sent to your phone but, 
I'm trying to kiss your lips for real 
Red hearts, red hearts 
That's what I'm on yeah 
Come give me something I can feel 
Oh oh oh 
Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy 
All you gotta do is just meet me at the 

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh 

아파트 아파트 
아파트 아파트 
아파트 아파트
Uh, uh huh uh huh 

It's whatever it's whatever it's whatever you like 
Turn this 아파트 into a club 
I'm talking drink, dance, smoke, freak, 
party all night 
건배 건배 girl what's up 
Oh oh oh 
Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy 
All you gotta do is just meet me at the 

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh
 
아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh
 
Hey so now you know the game 
Are you ready? 
Cause I'm comin to get ya 
Get ya, get ya 
Hold on, hold on 
I'm on my way 
Yeah yeah yeah yeah yeah 
I'm on my way 
Hold on, hold on
I'm on my way 
Yeah yeah yeah yeah yeah 
I'm on my way 

Don't you want me like I want you, baby 
Don't you need me like I need you now 
Sleep tomorrow but tonight go crazy 
All you gotta do is just meet me at the 

아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the 
(Uh huh uh huh)
 
아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the 
(Uh huh uh huh) 
아파트 아파트 
아파트 아파트 
아파트 아파트 
Just meet me at the 
(Uh huh uh huh) 

아파트 아파트 
아파트 아파트 
아파트 아파트 
Uh, uh huh uh huh
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","4,323"
4,Drowning,WOODZ,"미치도록 사랑했던
지겹도록 다투었던
네가 먼저 떠나고
여긴 온종일 비가 왔어
금세 턱 끝까지 차올랐고
숨이 막혀와
내 맘이란 추는 나를 더 깊게 더 깊게 붙잡아
Oh I'm drowning
It's raining all day
I can't breath
Oh oh I'm drowning
Oh I'm drowning
Oh I'm drowning
Oh I'm drowning
You're taking my life from me
다 알면서 눈 감은 넌 왜
다정한 말로 나를 죽여놓고
날 누이고 너는 떠나갔지
You cut me bad, I'm still waiting for you
너 떠나고 이곳은 잠겨 눈물로
날 너무 사랑했던 넌
어디로 흩어졌는지
내 맘이란 추는 나를 더 깊게 더 깊게 붙잡아
Oh I'm drowning
It's raining all day
I can't breath
Oh oh I'm drowning
Oh I'm drowning
Oh I'm drowning
Oh I'm drowning
You're taking my life from me
더 깊이 빠져 죽어도 되니까
다시 한번만 돌아와 줄래
더 깊이 빠져 죽어도 되니까
다시 한번만
Oh I'm drowning
It's raining all day
I can't breath
Oh oh I'm drowning
Oh I'm drowning
Oh I'm drowning
Oh I'm drowning
You're taking my life from me
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","3,146"
5,Hug,RIIZE,"하루만 네 방의 침대가
되고 싶어 Oh baby
더 따스히 포근히 내 품에
감싸 안고 재우고 싶어
아주 작은 뒤척임도
너의 조그만 속삭임에
난 꿈속의 괴물도
이겨내 버릴 텐데

내가 없는 너의 하룬
어떻게 흘러가는 건지
나를 얼마나 사랑하는지
난 너무나 궁금한데
너의 작은 서랍 속의
일기장이 되고 싶어
알 수 없는 너의 그 비밀도
내 맘속에 담아둘래 너 몰래

하루만 너의 고양이가
되고 싶어 Oh baby
네가 주는 맛있는 우유와
부드러운 네 품 안에서
움직이는 장난에도
너의 귀여운 입맞춤에
나도 몰래 질투를
느끼고 있었나 봐

내 마음이 이런 거야
너밖엔 볼 수 없는 거지
누구를 봐도 어디 있어도
난 너만 바라보잖아
단 하루만 아주 친한
너의 애인이 되고 싶어
너의 자랑도 때론 투정도
다 들을 수 있을 텐데 널 위해

In my heart in my soul
나에게 사랑이란
아직 어색하지만 Uh uh babe
이 세상 모든 걸
너에게 주고 싶어
꿈에서라도

내 마음이 이런 거야
지켜볼 수만 있어도
너무 감사해 많이 행복해
나 조금은 부족해도
언제까지 너의 곁에
연인으로 있고 싶어
너를 내 품에 가득 안은 채
굳어버렸으면 싶어 영원히
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",212
6,HAPPY,DAY6 (데이식스),"그런 날이 있을까요? 
마냥 좋은 그런 날이요
내일 걱정 하나 없이 
웃게 되는 그런 날이요

뭔가 하나씩은 
걸리는 게 생기죠
과연 행복할 수 있을까요 

그런 날이 있을까요? 
꿈을 찾게 되는 날이요 
너무 기뻐 하늘 보고
소리를 지르는 날이요

뭐 이대로 계속해서 
버티고 있으면 언젠가
그런 날이 올까요 

May I be happy? 
매일 웃고 싶어요
걱정 없고 싶어요
아무나 좀 답을 알려주세요

So help me
주저앉고 있어요
눈물 날 것 같아요
그러니까 제발 제발 제발요
Tell me it's okay to be happy

알고리즘엔 잘된 사람만 
수도 없이 뜨네요 

뭐 이대로 계속해서 
살아만 있으면 언젠가
저런 날이 올까요 

May I be happy? 
매일 웃고 싶어요
걱정 없고 싶어요
아무나 좀 답을 알려주세요

So help me
주저앉고 있어요
눈물 날 것 같아요
그러니까 
Tell me it's okay to be happy

그냥 쉽게 쉽게 살고 싶은데
내 하루하루는 왜 이리
놀라울 정도로 어려운 건데

May I be happy? 
매일 웃고 싶어요
걱정 없고 싶어요
아무나 좀 답을 알려주세요

So help me
주저앉고 있어요
눈물 날 것 같아요
그러니까 제발 제발 제발요
Tell me it's okay to be happy
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","3,823"
7,POWER,G-DRAGON,"When G.D's in the house (Übermensch)
When G.D's in the house 
Guess who's back (It's ur boy G.D)

Now I got the power, 
The power power up power power
The power up power power yet, yet
억까 짤 퍼다 샬라샬라하다가 shout out
Pump up the power 난 자유로워 yap, yap
Do not waste your time yea it's gotta be me
Prove 'em all wrong I've got all the receipts
I got the power the power power up power
나는 나다워서 아름다워 yep, yep

애들이 나보고 개꿀이라더군
댓글 리플 관종 걔들 입틀막고
2세대 한정품이 세기의 완성품
(Like a Dragon fly) 누울 자리 글로 발명품

Hi-Hey-How u doin' My-my name is (Called)
G to the D or 'GOAT' the livin' legend
King is still poppin' (star) 'K'- 다시
I heard you've got the straight flush (Whateva) 
""He's 4ever royal.""

I don't give a 쉬-잇 웃다 끝 '돈' 기부 '억' 씨-익
권력오남용 묻고 관용 천재 지병 불가항력
Way too strong I've got that

Now I got the power, 
The power power up power power
The power up power power yet, yet
억까 짤 퍼다 샬라샬라하다가 shout out
Pump up the power 난 자유로워 yap, yap
Do not waste your time yea it's gotta be me
Prove 'em all wrong I've got all the receipts
I got the power the power power up power
나는 나다워서 아름다워 yep, yep

일당백 '지뢰밭' 본업이(Born to be) 'BANG' 
Nothin' U ain't know But A 'G' Thang
But my girl, Y'all my brothers (Who run the world?) 
The world is yours
동서남북 Asia (미르시여) 
Europe to Australia (나르샤) 
Africa 2 America (어서옵쇼)
Started from the bottom 'Now, Here' (아리랑)

I don't give a 쉬-잇 웃다 끝 '돈' 기부 '억' 씨-익
권력오남용 묻고 관용 천재 지병 불가항력
Way too strong I've got that

Now I got the power, 
The power power up power power
The power up power power yet, yet
억까 짤 퍼다 샬라샬라하다가 shout out
Pump up the power 난 자유로워 yap, yap
Do not waste your time yea it's gotta be me
Prove 'em all wrong I've got all the receipts
I got the power the power power up power
나는 나다워서 아름다워 yep, yep

I got the power the power power, ""88 날아.""
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,792"
8,number one girl,로제(ROSÉ),"Tell me that I’m special
Tell me I look pretty
Tell me I’m a little angel
Sweetheart of your city
Say what I’m dying to hear
Cause I’m dying to hear you

Tell me I’m that new thing
Tell me that I’m relevant
Tell me that I got a big heart
Then back it up with evidence
I need it and I don’t know why
This late at night

Isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes
Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Tell me I’m going real big places
Down to earth so friendly
And even through all the phases
Tell me you accept me
Well that’s all I’m dying to hear
Yeah I’m dying to hear you

Tell me that you need me
Tell me that I’m loved
Tell me that I’m worth it
And that I’m enough
I need it and I don’t know why
This late at night

Isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

The girl in your eyes
The girl in your eyes
Tell me I’m the number one girl
I’m the number one girl in your eyes
The girl in your eyes
The girl in your eyes
Tell me I’m the number one girl
I’m the number one girl in your eyes

Well isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes
The number one girl in your eyes
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,367"
9,Mantra,제니 (JENNIE),"(Pretty pretty pretty pretty)

This that pretty girl mantra
This that flaunt ya
Just touched down in LA
Pretty girls don't do drama
Less we wanna
It'll be depending on the day

Pretty girls packed in a Defender
Know Imma defend her
Never let her catch no stray
This that pretty girl mantra
She's that stunna
Make you wanna swing both ways

Mix me with the drama
Check you like commas
My clothes are pajamas
Straight from the cold plunge

Daytime baddie use her mind
Quick switch of the fit for the night
Swerving through the lane
We'll be 20 minute late
Cuz we had to do a In-N-Out drive-by

It's not that deep
I'm not that drunk
Sometimes girls just gotta have fun
Throw it back
All that bass
Me & my sis way too attached

It's not that deep
We're not that dumb
Look at them Bonnies on the run
Inside glowing like the sun
You gonna feel us everyday

This that pretty girl mantra
This that flaunt ya
Just touched down in LA
Pretty girls don't do drama
Less we wanna
It'll be depending on the day

Pretty girls packed in a Defender
Know Imma defend her
Never let her catch no stray
This that pretty girl mantra
She's that stunna
Make you wanna swing both ways

Love what it feel like (feel like)
To be off of the grid like
All night
Ohhh with my B like (B like)
We ain't even tryna talk no one
Swerve off all the creeps
No weird vibes
We ain't never let it ruin a good time
Ain't nobody gon dim our good light
This them words we living by

This that pretty girl mantra
This that flaunt ya
Just touched down in LA
Pretty girls don't do drama
Less we wanna
It'll be depending on the day

Pretty girls packed in a Defender
Know Imma defend her
Never let her catch no stray
This that pretty girl mantra
She's that stunna
Make you wanna swing both ways

This that pretty girl mantra
This that flaunt ya
Just touched down in LA
Pretty girls don't do trauma
No new drama
We already got a full day

Pretty girls that you gon remember
Know that you could never
Nothing ever trigger me
This that pretty girl mantra
She's that stunna
Ereone know that she is me

(Pretty)
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,834"
