,제목,가수,가사,좋아요
0,이제 나만 믿어요,임영웅,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던 나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","15,029"
1,독백,정동원,"사랑은 잊어도 돼
언젠가 떠날 테니까
이별도 잊어야 해
사랑이 미워하니까
밤이 오면 밤이 오면
어디에서 나는 울어야 하나
외로울 땐 혼자 걷구요
슬퍼지면 혼자 울어요
지친 저 꽃처럼 아픈 저 별처럼
오늘도 나는 혼자 울어요
그 모습 잊어도 돼
내 곁을 떠날 테니까
그 마음 잊어야 해
이별이 아플 테니까
밤이 가면 밤이 가면
어디에서 나는 울어야 하나
외로울 땐 혼자 걷구요
슬퍼지면 혼자 울어요
지친 저 꽃처럼 아픈 저 별처럼
오늘도 나는 혼자 울어요
지쳐버린 저 꽃처럼
아파하는 저 별처럼
오늘도 나는 오늘도 나는
혼자서 혼자서 울어요
혼자서 혼자서 울어요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,083"
2,고리,정동원,"가슴에 흐르는 눈물로 
닦을 수 없는 그 이름 
수천 번 수만 번 돌아서도 
당신은 나의 그림자

미워하면 왜 미안해지고 
멀어지면 왜 그리워지나 
무거워 내려놓고 싶은 짐
왜 또 당신 날 살게 하나요

우리가 만나 운명인가요 
운명이라 만난 건가요 
아픔이 정녕 사랑인가요 
사랑이 아픔인가요

간절할수록 외로워지고 
외로울수록 간절해지는 
텅 빈 내 마음 당신 아니면 
아무도 채워줄 수 없어요

우리가 만나 운명인가요 
운명이라 만난 건가요 
아픔이 정녕 사랑인가요 
사랑이 아픔인가요

시작도 끝도 없는 고리로 
우리는 이어져 있어요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",627
3,여백,정동원,"얼굴이 잘생긴 사람은
늙어 가는 게 슬프겠지
아무리 화려한 옷을 입어도
저녁이면 벗게 되니까
내 손에 주름이 있는 건
길고 긴 내 인생에 훈장이고
마음에 주름이 있는 건
버리지 못한 욕심에 흔적
청춘은 붉은 색도 아니고
사랑은 핑크빛도 아니더라
마음에 따라서 변하는
욕심 속 물감의 장난이지
그게 인생인거야
전화기 충전은 잘 하면서
내 삶은 충전하지 못하고 사네
마음에 여백이 없어서
인생을 쫓기듯 그렸네
청춘은 붉은 색도 아니고
사랑은 핑크빛도 아니더라
마음에 따라서 변하는
욕심 속 물감의 장난이지
그게 인생인거야
전화기 충전은 잘 하면서
내 삶은 충전하지 못하고 사네
마음에 여백이 없어서
인생을 쫓기듯 그렸네
마지막 남은 나의 인생은
아름답게 피우리라
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","2,817"
4,잘가요 내사랑,정동원,"오늘이 지나가면 우리는
다시는 볼 수 없겠죠
서로를 가슴속에 묻고서
또 하루 살아가겠죠
미안해요
잘해주지 못해서
나 때문에 고생만 해서
잘 가요 내 사랑
이젠 아프지 마요
잘 가요 내 사랑
다신 울지도 마요
그리워 그리워
너무 그리울 때면
눈물 한 방울로 잊어요
나나나나
나나나나
잊진 않을게요
나나나나
나나나나
잘 가요 내 사랑
비좁은 내 안에서 살면서
얼마나 힘들었나요
시간을 돌릴 수만 있다면
조금 더 사랑할 텐데
고마워요 이 못난 날 만나서
좋은 추억 만들어줘서
잘 가요 내 사랑
이젠 아프지 마요
잘 가요 내 사랑
다신 울지도 마요
그리워 그리워
너무 그리울 때면
눈물 한 방울로 잊어요
사랑해 사랑해
아껴둔 이 한마디
그댈 만나 행복했어요
나나나나
나나나나
잊진 않을게요
나나나나
나나나나
잘 가요 내 사랑
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,643"
5,진짜배기,이명화,"궁딩이가 으쯘다고 모라하나요
뱃살이 으쯘다고 모라하나요
내 살이에요 내꺼예요 진짜 진짜예요

월세를 못받아도 따수운 마음 
관리가 힘들어도 정있는 여자
월세내세요 찾아갑니다
진짜 502호

세냥짜리 목걸이도 (진짜배기)
게루마늄 팔찌도 (진짜배기)
솔방울같은 머리도(진짜배기)
진짜 진짜배기

잼민이가 대들어도 웃어주고요
코끼리가 찾아와도 웃어주고요
싸나운 눈은 원래 그래요 진짜 진짜예요

안녕하세요 이명화입니다 
항시 즐거웁개 유쾌 상쾌 통쾌 통통통! 
예 그래요

궁딩이가 으쯘다고 모라하나요
뱃살이 으쯘다고 모라하나요
내 살이에요 내꺼예요 진짜 진짜예요

월세를 못받아도 따수운 마음 
관리가 힘들어도 정있는 여자
월세내세요 찾아갑니다
진짜 502호

세냥짜리 목걸이도 (진짜배기)
게루마늄 팔찌도 (진짜배기)
솔방울같은 머리도(진짜배기)
진짜 진짜배기

세냥짜리 목걸이도 (진짜배기)
게루마늄 팔찌도 (진짜배기)
솔방울같은 머리도(진짜배기)
진짜 진짜배기

잼민이가 대들어도 웃어주고요
코끼리가 찾아와도 웃어주고요
싸나운 눈은 원래 그래요 진짜 진짜예요

진짜 진짜배기
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",91
6,그대가 웃으면 좋아,박지현,"그대가 웃고 있으면 나도 웃음이 나와
그대가 웃고 있으면 무장해제가 완료 오우
그대가 울고 있으면 내 가슴 무너지고
어떻게 달래야 하나 오우 노
당신은 웃는 게 예뻐
푸르른 하늘처럼 볼수록 아름다워
파도에 흘러가는 눈부신 햇살 같아 오우오
가슴이 두근거려 설레는 기분이야
변하지 않는 내 마음 다 보여주고 싶어 오오 오우오
그대를 웃게 만드는 이유가 되고 싶어
험한 길 내가 갈 테니 항상 그대는 웃기만 해
그대가 울고 있으면 내 가슴 무너지고
어떻게 달래야 하나 오우 노
당신은 웃는 게 예뻐
지나온 시간들이 아쉽고 그리워도
우리의 사랑만은 변하지 않을 거야 오우오
나이가 들어가고 서럽고 두려워도
변하지 않는 단 하나 너에겐 내가 있어 오오 오우오
시간이 흐른 어느 날 오늘을 잊지 마요
그대와 내가 닮아가 버린 서로의 웃는 모습
그대와 내가 닮아가 버린 서로의 웃는 얼굴
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",598
7,뱃놀이,정동원,"어기야 디여차
따뜻하게 입어라 신경 쓰이니까
오다 주웠다 받아 별거 아니니까
툭하고 던진 맘에 올라가는 입가
거친 내 매력에 너 납치된 거야
어머 어머 뭐니
어쩜 이렇게 좋니
흔들흔들 어질하도록
너를 격하게 아껴줄 테니 내게 맡겨
우리는 운명인 거야
나만의 님이 돼주오
떠가는 저 배 위에
함께 노닐 나의 님이 돼주오
저 푸른 바다 위에
어기야 디여차
사랑하는 나의 님과
어기야 디여 어기여차
뱃놀이 가잔다
영차 영차 노를 젓자 젓자
가자 가자 저 바다로 가자
저 달님이 부르는
우리의 노랫말은
물결 위에 뿌려져
물비늘 되는구나
어머 어머 뭐니
어쩜 이렇게 좋니
흔들흔들 어질하도록
너를 격하게 아껴줄 테니 내게 맡겨
우리는 운명인 거야
나만의 님이 돼주오
떠가는 저 배 위에
함께 노닐 나의 님이 돼주오
저 푸른 바다 위에
어기야 디여차
사랑하는 나의 님과
어기야 디여 어기여차
뱃놀이 가잔다
노을 진 하늘을 지나
휘영청 밝은 그 달이
걸린 밤하늘을 바라보다
해가 뜨는 새벽에도 우린 함께
그대여 나의 님이 되어 주오
그대의 님이 나 되게 해 주오
거친 바람이 불어도
지켜 줄 수 있게
나만의 님이 돼주오
떠가는 저 배 위에
함께 노닐 나의 님이 돼주오
저 푸른 바다 위에
어기야 디여차
사랑하는 나의 님과
어기야 디여 어기여차
뱃놀이 가잔다
어야 디여 (어야 디여)
어야 디여 (어야 디여)
닻을 올려 노를 저어서 가자
어야 디여 (어야 디여)
어야 디여 (어야 디여)
뱃놀이 가잔다
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,267"
8,못난놈,박지현,"남 속이고 사는 게 그리 좋더냐
두 다린 뻗고 잘 자니
자식 낳았다고 미역국 드신
애미 생각나지도 않더냐
무엇을 주워 먹고 그 몹쓸 심보냐
숯덩이 같은 인생아
일 더하기 일은 이 그리 가르쳤건만
구구단 밤에 배웠더냐 못난 놈
남 속이고 사는 게 그리 좋더냐
두 다린 뻗고 잘 자니
자식 낳았다고 잔치 벌이신
애비 생각 나지도 않더냐
무엇을 주워 먹고 그 몹쓸 심보냐
숯덩이 같은 인생아
올바르게 살라고 그리 가르쳤건만
소귀에 경 읽기냐 못난 놈
소귀에 경 읽기냐 못난 놈
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",571
9,깜빡이를 키고 오세요,박지현,"깜빡이를 키고 오세요
내 인생에 훅 들어온 당신 내님아
금사빠라 소문날지 모르겠지만
오늘은 오빠랑 달려
누가봐도 완벽한 오빠의 인생
돈쭐내러 다니는 백마탄기사
브레이크 밟을 일도 없던 내 인생
갑자기 사달이 났네
살며시 내 옆으로 몰래 와놓고
사랑을 던지나
다가와 토닥토닥 누나인척해
날뛰는 이 마음 어쩌라고
깜빡이를 키고 오세요
내 인생에 훅 들어온 당신 내님아
금사빠라 소문날지 모르겠지만
오늘은 오빠랑 달려
앞만보고 달리는 남자의 인생
긴 하루 끝자락에 비틀거리는
술 한잔에 내 청춘을 추스려보는
외로운 고독한 남자
살며시 내 옆으로 몰래 와놓고
사랑을 던지나
다가와 토닥토닥 누나인척 해
날뛰는 이 마음 어쩌라고
깜빡이를 키고 오세요
내 인생에 훅 들어온 당신 내님아
금사빠라 소문날지 모르겠지만
오늘은 오빠랑 달려
깜빡이를 키고 오세요
클락션을 눌러주세요
내 인생에 훅 들어온 우리 공주님
왔다가도 가버리는 사랑이지만
오늘은 오빠랑 달려
오늘은 오빠랑 달려
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",611
10,물망초,정동원,"나를 잊지 말아요
꿈에서라도 그대
내 곁으로 올 순 없나요
같은 하늘 아래에
다시 볼 수 없어도
그대 나를 잊지 말아요
시린 바람이 불어오면
더욱 생각나는 사람
언제나 내 곁을 지켜주던
따스한 사람
정말로 사랑했는데 난
우리 참 행복했는데
그런 그대가 날 떠나요
이제 난 어떻게 하죠
나를 잊지 말아요
꿈에서라도 그대
내 곁으로 올 순 없나요
같은 하늘 아래에
다시 볼 수 없어도
그대 나를 잊지 말아요
정말로 사랑했는데 난
우리 참 행복했는데
어디서든 행복하세요
부탁 하나만 할게요
나를 잊지 말아요
꿈에서라도 그대
내 곁으로 올 순 없나요
같은 하늘 아래에
다시 볼 수 없어도
그대 나를 잊지 말아요
너무 보고 싶은데
너무 보고 싶은데
눈물로 하루를 보내요
같은 하늘 아래에
다시 볼 수 없어도
그댄 나를 잊지 말아요
그댈 많이 사랑했어요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,422"
11,만약에,정동원,"만약에 당신이 그 누구와 사랑에 빠지면
그 사람을 위해서 무얼 할 수 있나

만약에 당신이 그 누구와 사랑에 빠지면
그 사람을 위해서 무얼 할 수 있나

텅 빈 세상 살아가는 이유가 
만약에 너라면 어떡하겠니
사는 동안 단 한 번의 사랑이 
만약에 너라면 허락하겠니

얼마나 더 많이 외로워해야 
널 끌어안고서 울어볼까
이제는 더 이상 지칠 몸조차 
비워둘 마음조차 없는데

또 다른 이유로 널 못 본다면 
나 살아가는 의미도 없지
만약에 널 위해 나 죽을 수 있다면 
날 받아주겠니

텅 빈 세상 살아가는 이유가 
만약에 너라면 어떡하겠니
사는 동안 단 한 번의 사랑이 
만약에 너라면 허락하겠니

얼마나 더 많이 외로워해야 
널 끌어안고서 울어볼까
이제는 더 이상 지칠 몸조차 
비워둘 마음조차 없는데

또 다른 이유로 널 못 본다면 
나 살아가는 의미도 없지
만약에 널 위해 나 죽을 수 있다면 
날 받아주겠니

만약에 널 위해 나 죽을 수 있다면 
날 받아주겠니

만약에 당신이 그 누구와 사랑에 빠지면
그 사람을 위해서 다 해줄 수 있나
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",887
12,떠날 수 없는 당신,박지현,"나를 너무 모르시는 모르시는 당신이여
짙은 안개 때문입니까 무심한 탓입니까
사랑에 눈먼 당신이기에 이 가슴 멍들기전에
모두다 잊고 모두다 잊고
어디론가 떠나고 싶지만
미련이 많아 미련이 많아
떠날 수 없는 당신
나를 너무 모르시는 모르시는 당신이여
흐린 달 빛 때문입니까 무심한 탓입니까
사랑에 귀먼 당신이기에 이가슴 멍들기전에
모두다 잊고 모두다 잊고
어디론가 떠나고 싶지만
너무 정들어 너무 정들어
떠날 수 없는 당신
너무 정들어 너무 정들어
떠날 수 없는 당신
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",527
13,별빛 같은 나의 사랑아,임영웅,"당신이 얼마나 내게 소중한 사람인지
세월이 흐르고 보니 이제 알 것 같아요
당신이 얼마나 내게 필요한 사람인지
세월이 지나고 보니 이제 알 것 같아요
밤하늘에 빛나는 별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요 날 믿고 따라준 사람
고마워요 행복합니다 왜 이리 눈물이 나요
밤하늘에 빛나는 별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요 날 믿고 따라준 사람
고마워요 행복합니다 왜 이리 눈물이 나요
왜 이리 눈물이 나요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","8,098"
14,거문고야,박지현,"내 청춘이 못가게 붙잡아보자
오동잎 떨어진 달 밝은 밤에
너하고 나하고
이 밤이 가지 못하게 붙잡아보자
뚱따리뚱땅 뚱따리뚱땅 거문고야
내 청춘이 못가게 여섯줄을 퉁겨라
새파란 청춘 내 청춘을 어이 보내놓고
내가 너를 붙잡고 있으니
님이 생각난다 보고픈 내 님이
거문고야 여섯줄을 퉁겨라
달아나는 밤을 붙잡고 너를 붙잡고
뚱따리뚱땅 뚱따리뚱땅땅
오동잎 떨어진 달 밝은 밤에
너하고 나하고
이 밤이 못가게 붙잡아보자
님이 생각난다 보고픈 내 님이
거문고야 여섯줄을 퉁겨라
달아나는 밤을 붙잡고 너를 붙잡고
뚱따리뚱땅 뚱따리뚱땅땅
오동잎 떨어진 달 밝은 밤에
너하고 나하고
이 밤이 못가게 붙잡아보자
내 청춘이 못가게 붙잡아보자
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",517
15,"Moon River(영화 ""티파니에서 아침을"" OST)",정동원,"가사 준비 중입니다. 일반 가사 신청 실시간 가사 신청
벅스패널이 되면 가사를 등록하실 수 있습니다. 벅스패널이란?",989
16,내 사랑 그대여,박지현,"날 좋아한다고 말해요
그대 없이 나는 못 살아요
메마른 내 가슴에 단비를 뿌리는
그대를 너무나 좋아해
날 사랑한다고 말해요
그대 두고 나는 못 살아요
한 줄기 빛이 되어 어둠을 밝히는
그대를 너무나 사랑해
이 세상 영원 영원히
내 곁에만 있어 주세요
나의 모든 것들은 다 그대 거예요
뭐든지 드리겠어요
죽는 날까지 같이 살아요
그대를 좋아해 사랑해
내 사랑 그대여
날 좋아한다고 말해요
그대 없이 나는 못 살아요
메마른 내 가슴에 단비를 뿌리는
그대를 너무나 좋아해
날 사랑한다고 말해요
그대 두고 나는 못 살아요
한 줄기 빛이 되어 어둠을 밝히는
그대를 너무나 사랑해
이 세상 영원 영원히
그대 곁에 있을 거예요
그대의 모든 것들은 다 내 거예요
뭐든지 다 주세요
죽는 날까지 같이 살아요
그대를 좋아해 사랑해
내 사랑 그대여
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",282
17,어느날 문득,박지현,"어느 날 문득 돌아다보니
지나온 모든 게 다 아픔이네요
날 위해 모든 걸 다 버려야는데
아직도 내 마음 둘 곳을 몰라요
오늘도 가슴엔 바람이 부네요
마음엔 나도 모를 설움이 가득
어디로 갈까요 어떻게 할까요
아직도 내가 날 모르나 봐요
언제쯤 웃으며 날 볼 수 있을까
언제쯤 모든 걸 다 내려놓을 수 있을까
그땐 왜 그랬을까 그땐 왜 몰랐을까
사랑에 이별이 숨어있는지
어느 날 문득 생각해 보니
내가 없으면 세상이 없듯이
날 위해 이제는 다 비워야는데
아직도 내가 날 모르나 봐요

언제쯤 웃으며 날 볼 수 있을까
언제쯤 모든 걸 다 내려놓을 수 있을까
그땐 왜 그랬을까 그땐 왜 몰랐을까
사랑에 이별이 숨어있는지
어느 날 문득 생각해 보니
내가 없으면 세상이 없듯이
날 위해 이제는 다 비워야는데
아직도 내가 날 모르나 봐요
아직도 내가 날 모르나 봐요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",298
