,제목,가수,가사,좋아요
0,Supernatural,NewJeans,"Stormy night
Cloudy sky
In a moment you and I

One more chance
너와 나 다시 한번 만나게
서로에게 향하게

My feeling's getting deeper
내 심박수를 믿어
우리 인연은 깊어
I gotta see the meaning of it
 
I don't know what we've done
되돌아가긴 싫어
もう知っている
 
Don't know what we've been sold
見つけられるよ 
So it's sure

Golden moon
Diamond stars
In a moment you and I
 
Second chance
しょうがない
もう少し待って 
너와 내게 향하게
 
My feeling's getting deeper
내 심박수를 믿어
우리 인연은 깊어
I gotta see the meaning of it
 
I don't know what we've done
되돌아가긴 싫어
もう知っている 
 
Don't know what we've been sold
見つけられるよ 
So it's sure
 
It's supernatural
It's supernatural
 
거짓말 안 할래
너도 말해
Attention we should pay
To what is coming through
 
We had no idea
It's crystal clear
Love is here
Sitting next to you

私とあなた 
Golden moon
Diamond stars
In a moment we unite
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","3,128"
1,Die With A Smile,Lady GaGa(레이디 가가) CONNECT 아티스트,"(Ooh, ooh)

I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night 
Like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

(Ooh, ooh)

Ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only one worth fighting for

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night 
Like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

Right next to you
Next to you
Right next to you
Oh-oh

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you
If the world was ending
I'd wanna be next to you

(Ooh, ooh)
I'd wanna be next to you
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,517"
2,Cruel Summer,Taylor Swift(테일러 스위프트),"(Yeah yeah yeah yeah)
Fever dream high in the quiet of the night
You know that I caught it
(Oh yeah you're right I want it)
Bad bad boy shiny toy with a price
You know that I bought it
(Oh yeah you're right I want it)
Killing me slow out the window
I'm always waiting for you
To be waiting below
Devils roll the dice angels roll their eyes
What doesn't kill me
Makes me want you more
And it's new the shape of your body
It's blue the feeling I've got
And it's ooh whoa oh
It's a cruel summer
It's cool that's what I tell 'em
No rules in breakable heaven
But ooh whoa oh
It's a cruel summer
With you
Hang your head low in the glow of
The vending machine
I'm not dying
(Oh yeah you're right I want it)
You say that we'll just screw it up
In these trying times
We're not trying
(Oh yeah you're right I want it)
So cut the headlights summer's a knife
I'm always waiting for you
Just to cut to the bone
Devils roll the dice angels roll their eyes
And if I bleed you'll be the last to know
Oh it's new the shape of your body
It's blue the feeling I've got
And it's ooh whoa oh
It's a cruel summer
It's cool that's what I tell 'em
No rules in breakable heaven
But ooh whoa oh
It's a cruel summer
With you
I'm drunk in the back of the car
And I cried like a baby
Coming home from the bar (Oh)
Said I'm fine but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer
Just to seal my fate (Oh)
And I screamed for whatever it's worth
I love you ain't
That the worst thing you ever heard?
He looks up grinning like a devil
And it's new the shape of your body
It's blue the feeling I've got
And it's ooh whoa oh
It's a cruel summer
It's cool that's what I tell 'em
No rules in breakable heaven
But ooh whoa oh
It's a cruel summer
With you
I'm drunk in the back of the car
And I cried like a baby
Coming home from the bar (Oh)
Said I'm fine but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer
Just to seal my fate (Oh)
And I screamed for whatever it's worth
I love you ain't that the worst thing
You ever heard?
(Yeah yeah yeah yeah)
atmercy 님이 등록해 주신 가사입니다.
가사 오류 제보","4,742"
3,Dangerously,Charlie Puth(찰리 푸스),"(Oh, oh, oh)

This is gonna hurt but I blame myself first, 
cause I ignored the truth
Drunk off that love, my head up, 
there's no forgetting you

You've awoken me, 
but you're choking me, I was so obsessed
Gave you all of me, 
and now honestly I've got nothing left

I loved you dangerously
More than the air 
that I breathe
Knew we would crash at the speed 
that we were going
Didn't care if the explosion 
ruined me
Baby I loved you dangerously
Mmmm, mmm, mmmm
I loved you dangerously-woah

Usually I hold the power with both 
my hands tied behind my back
Look at how things change, 
cause now you're the train, 
and I'm tied to the track

You've awoken me, 
but you're choking me, I was so obsessed
Gave you all of me,
and now honestly I've got nothing left

I loved you dangerously
More than the air 
that I breathe
Knew we would crash at the speed 
that we were going
Didn't care if the explosion
ruined me
Baby I loved you dangerously

You took me down, down, down, down
And kissed my lips quick goodbye
I see you now, now, now, now
It was a matter of time
You know I know, 
there's only one place this could lead
But you are the fire, I'm gasoline
I love you, I love you, I love you, 
I loved you dangerously
More than the air
that I breathe
Oh now, I knew we would crash 
at the speed that we were going
Didn't care if the explosion 
ruined me
Oh, oh baby I loved you dangerously

Mmmm, mmm
Oh, I loved you dangerously
Oh, oh, I loved you dangerously
bbbgold 님이 등록해 주신 가사입니다.
가사 오류 제보","11,134"
4,Snowman,Sia(시아),"Don't cry snowman not in front of me
Who will catch your tears
If you can't catch me darling
If you can't catch me darling
Don't cry snowman don't leave me this way
A puddle of water can't hold me close baby
Can't hold me close baby
I want you to know that I'm never leaving
Cause I'm Mrs. Snow 'till death we'll be freezing
Yea you are my home my home for all seasons
So come on let's go
Let's go below zero
And hide from the sun
I love you forever
And we'll have some fun
Yes let's hit the north pole
And live happily
Please don't cry no tears now
It's christmas baby
My snowman and me yea
My snowman and me
Baby
Don't cry snowman don't you fear the sun
Who'll carry me without legs to run honey
Without legs to run honey
Don't cry snowman don't you shed a tear
Who'll hear my secrets if you don't have ears baby
If you don't have ears baby
I want you to know that I'm never leaving
Cause I'll miss the snow 'till death will be freezing
Yea you are my home my home for all seasons
So come on let's go
Let's go below zero
And hide from the sun
I love you forever
And we'll have some fun
Yes let's hit the north pole
And live happily
Please don't cry no tears now
It's christmas baby
My snowman and me yea
My snowman and me
Baby
sbyr9521 님이 등록해 주신 가사입니다.
가사 오류 제보","20,042"
5,Steal The Show (From “엘리멘탈”),Lauv(라우브) CONNECT 아티스트,"Started out on a one way train
Always knew where I was gonna go next
Didn't know until I saw your face
I was missing out on every moment
you'll be one and baby i'll be two
Would you mind it
if i said i'm into to you (I'm into you)
So if it's real then darling let me know
I wouldn't mind if you steal the show
You and I we go together
You're the sky I'll be the weather
A pretty thing, the sun and rain, who knew?
Oooh, yeah
Summer night perfect occasion
Where am I you know I'll be waiting for you
Oh for you
So if it's real then darling let me know
I wouldn't mind if you steal the show
So if it's real then darling let me know
I wouldn't mind if you steal the show
You shine You shine like forever lasts forever
You shine You shine and steal the show
So if it's real then darling let me know
I wouldn't mind if you steal the show
(Started out on a one way train)
(Always knew where I was gonna go next)
So if it's real then darling let me know
(Didn't know until I saw your face)
(I was missing out on every moment)
(If you want it baby I'll be true)
(Would mind it if I said I'm into you)
I wouldn't mind if you steal the show
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","5,917"
6,Santa Tell Me,Ariana Grande(아리아나 그란데) CONNECT 아티스트,"Santa tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa tell me if he really cares
Cause I can't give it all away
if he won't be here next year
Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus
when I see him walking 'cross the room
Let it snow, is blasting now
But I won't get it in the mood
I'm avoiding every mistletoe until
I know it's true love
That he thinks of
So next Christmas
I'm not all alone boy
Santa tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa tell me if he really cares
Cause I can't give it all away
if he won't be here next year
I've been down this road before
Fell in love on Christmas night
But on New Year's Day I woke up
and you wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is
just a fling or if it's true love
That he thinks of
So next Christmas I'm not all alone boy
Santa tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa tell me if he really cares
Cause I can't give it all away
if he won't be here next year
Oh I wanna have him beside me like ooh
On the 25th by the fireplace ooh
But I don't want no broken heart
This year I got to be smart
Oh baby
Santa tell me
Santa tell me
If he will be here
Santa tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa tell me if he really cares
Cause I can't give it all away
if he won't be here next year
Santa tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa tell me if he really cares
Cause I can't give it all away
if he won't be here next year
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","17,038"
7,Older,Sasha Alex Sloan CONNECT 아티스트,"I used to shut my door
While my mother
Screamed in the kitchen
I'd turn the music up
Get high and try not to listen
To every little fight
'Cause neither one was right
I swore I'd never be like them
But I was just a kid back then
The older I get the more that I see
My parents aren't heroes
They're just like me
And loving is hard it don't always work
You just try your best not to get hurt
I used to be mad but now I know
Sometimes it's better to let someone go
It just hadn't hit me yet
The older I get
I used to wonder why
Why they could never be happy
I used to close my eyes and pray
For a whole 'nother family
Where everything was fine
One that felt like mine
I swore I'd never be like them
But I was just a kid back then
The older I get the more that I see
My parents aren't heroes
They're just like me
And loving is hard it don't always work
You just try your best not to get hurt
I used to be mad but now I know
Sometimes it's better to let someone go
It just hadn't hit me yet
The older I get
The older I get the more that I see
My parents aren't heroes
They're just like me
And loving is hard it don't always work
You just try your best not to get hurt
I used to be mad but now I know
Sometimes it's better to let someone go
It just hadn't hit me yet
The older I get
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","4,290"
8,All I Want for Christmas Is You,Mariah Carey(머라이어 캐리) CONNECT 아티스트,"I don't want a lot for Christmas
There's just one thing I need
I don't care about the presents
underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas Is you

I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas Is you
You baby

I won't ask for much this Christmas
I won't even wish for snow
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick
I won't even stay awake to
Hear those magic reindeer click
Cause I just want you here tonight
Holding on to me so tight
What more can I do
Oh Baby all I want for Christmas is you
You~ baby~

All the lights are shining
So brightly everywhere
And the sound of children's
Laughter fills the air
And everyone is singing
I hear those sleigh bells ringing
Santa won't you bring me
the one I really need Won't you
please bring my baby to me

Oh I don't want a lot for Christmas
This is all I'm asking for
I just want to see my baby
Standing right outside my door
Oh I just want him for my own
More than you could ever know
Make my wish come true
Oh Baby all I want for Christmas is You
You baby
All I want for Christmas is you baby
bugsmanager 님이 등록해 주신 가사입니다.
가사 오류 제보","54,531"
9,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),"Get her name and get her number
Find out all of the things
That we have in common
Never all the differences oh yeah
Meet her parents meet her brother
Then she starts sleepin' over
The crib on weekends
Like a real relationship oh no
For me the stars are alignin'
But for her it's bad timin'
So she just can't be mine
I don't think that I like her anymore
Girls are all the same
All they wanna do is break my heart
My heart (Oh oh)
I don't think that I like her anymore
Girls are all the same
They just wanna see me fall apart apart (Oh oh)
So I hook up on a rebound
And I say that I'm gonna be single for life
But she's so pretty and nice (Pretty and nice)
So I made just one exception
But I find out eventually I'm not her type
Baby that's the reason why that
For me the stars are alignin'
But for her it's bad timin'
So she just can't be mine
I don't think that I like her anymore (Yeah)
Girls are all the same
All they wanna do is break my heart
My heart (Oh oh)
I don't think that I like her anymore (No)
Girls are all the same
They just wanna see me fall apart apart (Oh oh)
I'm trying not to be bitter
But damn it I miss her
'Cause she's one of a kind
For me the stars are alignin'
But for her it's bad timin'
So she just can't be mine
I don't think that I like her anymore
Girls are all the same
All they wanna do is break my heart
My heart (Oh oh)
I don't think that I like her anymore
Girls are all the same
They just wanna see me fall apart apart (Oh oh)
Then we fall we fall fall fall apart now
I don't think that I like her anymore
Girls are all the same
They just wanna see me fall apart apart (Oh oh)
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","7,047"
