,제목,가수,가사,좋아요
0,luther,Kendrick Lamar(켄드릭 라마),"If this world were mine

Hey, Roman numeral seven, bae, drop it like it's hot
If this world was mine, I'd take your dreams and make 'em multiply
If this world was mine, I'd take your enemies in front of God
Introduce 'em to that light, hit them strictly with that fire
Fah-fah, fah-fah-fah, fah-fah, fah
Hey, Roman numeral seven, bae, drop it like it's hot
If this world was mine, I'd take your dreams and make 'em multiply
If this world was mine, I'd take your enemies in front of God
Introduce 'em to that light, hit them strictly with that fire
It's a vibe, do your dance, let 'em watch
She a fan, he a flop, they just wanna kumbaya, nah

In this world, concrete flowers grow
Heartache, she only doin' what she know
Weekends, get it poppin' on the low
Better days comin' for sure
If this world were—
If it was up to me
I wouldn't give these nobodies no sympathy
I'd take away the pain, I'd give you everything
I just wanna see you win, wanna see
If this world were mine

It go in (When you), out (Ride it), do it real slow (Slide)
Baby, you a star, strike, pose
When I'm (When you), with you (With me), everything goes (Slow)
Come and (Put that), put that (On my), on my (Titi), soul (Soul)
'Rari (Red), crown (Stack), wrist (Stay), froze (Really)
Drip (Tell me), pound (If you), on the way home (Love me)

In this world, concrete flowers grow
Heartache, she only doin' what she know
Weekends, get it poppin' on the low
Better days comin' for sure
If this world were—
If it was up to me
I wouldn't give these nobodies no sympathy
I'd take away the pain, I'd give you everything
I just wanna see you win, wanna see
If this world were mine

I can't lie
I trust you, I love you, I won't waste your time
I turn it off just so I can turn you on
I'ma make you say it loud
I'm not even trippin', I won't stress you out
I might even settle down for you, I'ma show you I'm a pro
I'ma take my time and turn it off
Just so I can turn you on, baby
Weekends, get it poppin' on the low
Better days comin' for sure

I know you're comin' for
Better days
If this world were mine
sbyr9521 님이 등록해 주신 가사입니다.
가사 오류 제보",406
1,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone(포스트 말론),"Ayy ayy ayy ayy
Ooh ooh ooh ooh
Ayy ayy
Ooh ooh ooh ooh
Needless to say I keep her in check
She was all bad bad nevertheless
Callin' it quits now baby I'm a wreck
Crash at my place baby you're a wreck
Needless to say I'm keeping her checked
She was all bad bad nevertheless
Callin' it quits now baby I'm a wreck
Crash at my place baby you're a wreck
Thinkin' in a bad way losin' your grip
Screamin' at my face baby don't trip
Someone took a big L
Don't know how that felt
Lookin' at you sideways party on tilt
Ooh ooh some things you
Just can't refuse
She wanna ride me like a cruise
And I'm not tryna lose
Then you're left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower
Every time I'm leavin' on ya
You don't make it easy no
Wish I could be there for ya
Give me a reason to oh
Every time I'm walkin' out
I can hear you tellin' me to turn around
Fightin' for my trust
And you won't back down
Even if we gotta risk it all right now oh
I know you're scared of the unknown
You don't wanna be alone
I know I always come and go
But it's out of my control
And you'll be left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","10,277"
2,MILLION DOLLAR BABY,Tommy Richman,"Do it baby do what I should think
Do it do it baby do what I could think
Do it do it baby do what I should think
Do it do it baby do what I could think
Do it do it do it baby do what I should think
Do it baby do what I could think
Do it do it do it baby do what I should think
Do it do it baby do what I could think
I ain't never rep a set baby (Tsk tsk)
I ain't do no wrong
I could clean up good for you
Oh I know right from wrong
'Cause I wanna make it so badly
I'm a million dollar baby don't at me
Yeah oh hell no (Yeah yeah)
You rep my city for so damn long (Ah ah)
But you still don't notice me my sound next
VA next (Yeah yeah)
I'm at they neck (Yeah yeah)
I'm running up a check
(Yeah yeah yeah yeah)
She a bad lil' mama she a diva
No matter what happens
he cannot come between us again
I know we're better than friends
(Better than friends)
I took her to Queen's Gambit (Yeah yeah)
showed around my friends
Tried to pick some energy up it don't matter
I know you haven't moved on
if you tried (Oh no)
I don't believe it baby I know you lied (Oh no)
All night long what you mean I changed?
Haven't stayed the same
I've been losing my mind (Ooh)
I said the city is mine (Ooh)
I ain't never rep a set baby
Ain't do no wrong
I could clean up good for you
Oh I know right from wrong
'Cause I wanna make it so badly
I'm a million dollar baby don't at me
I ain't never rep a set baby
Ain't do no wrong
I could clean up good for you
Oh I know right from wrong
'Cause I wanna make it so badly
I'm a million dollar baby
don't at me (No no no)
Hell hell nah
Yeah hell hell no
Do it baby do what I should think
Hell hell no
Do it do it baby do what I could think
Do it baby do what I should think
Hell hell nah
Do it do it baby do what I could think
Yeah hell hell nah
Hell hell nah
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",661
3,Got It Figured Out,Carter Ace,"가사 준비 중입니다. 일반 가사 신청 실시간 가사 신청
벅스패널이 되면 가사를 등록하실 수 있습니다. 벅스패널이란?",14
4,See You Again (feat. Charlie Puth) (폴 워커 추모 엔딩곡) (분노의 질주 : 더 세븐(Fast & Furious 7) OST),Wiz Khalifa(위즈 칼리파),"It's been a long day without you my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh I'll tell you all about it when I see you again
When I see you again
Damn who knew all the planes we flew
Good things we've been through
That I'll be standing right here
Talking to you about another path I
Know we loved to hit the road and laugh
But something told me that it wouldn't last
Had to switch up look at things different
See the bigger picture
Those were the days hard work forever pays
Now I see you in a better place
How could we not talk about family
When family's all that we got?
Everything I went through
You were standing there by my side
And now you gonna be with me for the last ride
It's been a long day without you my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh I'll tell you all about it when I see you again
when I see you again
First you both go out your way
And the vibe is feeling strong and what's
Small turn to a friendship a friendship
Turn into a bond and that bond will never
Be broke and the love will never get lost
And when brotherhood come first then the line
Will never be crossed established it on our own
When that line had to be drawn and that line is what
We reach so remember me when I'm gone
How could we not talk about family
When family's all that we got?
Everything I went through
You were standing there by my side
And now you gonna be with me for the last ride
So let the light guide your way hold every memory
As you go and every road you take
Will always lead you home
It's been a long day without you my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh I'll tell you all about it when I see you again
When I see you again oh
한겨울 님이 등록해 주신 가사입니다.
가사 오류 제보","13,635"
5,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,"Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin'
Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin' (star walkin')
On a mission to get high up
I know that I'ma die reachin' for a life 
that I don't really need at all
Never listened to replies 
learned a lesson from the wise
You should never take advice from a nigga 
that ain't try
They said I wouldn't make it out alive
They told me I would never see the rise
That's why I gotta kill 'em every time
Gotta watch 'em bleed too
Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin'
Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin'
Been that nigga since I came out my mama 
(woo)
Thankin' God daddy never wore a condom 
(woo)
Prove 'em wrong every time 'til it's normal
Why worship legends 
when you know that you can join 'em?
These niggas don't like me they don't like me
Likely they wanna fight me
Come on try it out try me
They put me down but I never cried out 
""Why me?""
Word from the wise
Don't put worth inside a nigga that ain't try
They said I wouldn't make it out alive
They told me I would never see the rise
That's why I gotta kill 'em every time
Gotta watch 'em bleed too
Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin'
Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin'
(I'm star walkin')
Don't ever say it's over if I'm breathin'
Racin' to the moonlight and I'm speedin'
I'm headed to the stars ready to go far
I'm star walkin'
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","1,493"
6,Open Arms (feat. Travis Scott),SZA CONNECT 아티스트,"When you do your best you ca I done told you
When you do your best hell
that's all you can do
You and me and anybody else
So they always start talkin'
I'm runnin' away from where I'm from
Never can stay with no one
Lovin' you almost feels like somethin'
When no one's around me
You lost and found me
I was surrounded
With open open open open arms (Ooh)
Open arms you give me open
I'm so devoted
You keep me open (Ooh) open arms
I'm so devoted to you to you to you
Spent your life bein' hopeless
Chokin' on insecurity
I know oh this is bad
But please put a leash on me anyway
Who needs self esteem anyway?
I hate myself to make you stay
Push me away I'll be right here (Here)
With open open open open arms (Ooh)
Open arms you give me open
I'm so devoted
You keep me open (Ooh) open arms
I'm so devoted to you (Ooh) to you to you
No matter what come between us yeah
I decided (Ayy)
I'm forever ridin' (Ride)
You're forever guidin' (Ayy)
Pull up on an opp hit his curve up slidin' (Brr)
Notice when you mad ain't no words
Just silence (Ooh)
You my favorite color
Now you seein' every shade of me
You say that I'm trippin' I hit back like
'Where you takin' me?'
Locked in for life on God no replacin' me
Consequences repercussions
Karma keep on changin' me (Ooh yeah)
For you I trust face card valid ID (Ooh)
C'est la vie go to Paris it ain't five star it ain't me
Over solid keep it concrete (Ahh)
I'ma bet it on your whole fee
Just don't switch sides I could buy a piece
Your wrist AP (Ahh)
Through the ups and downs and all the heat
Take a turn and tell you what it be
Backshots make you feel relief anythin'
Just don't you ever leave
I guess I gotta go (Ooh)
I guess it's time to go
I gotta let you go
(I'm so devoted)
You keep me open (Ooh)
Gotta let you go gotta let you go
I gotta let you go I must
You the only one that's holdin' me down (Ooh)
Only one holdin' me down (Ooh only one)
'Cause you the only one that's holdin' me down
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",534
7,I Like You (A Happier Song) (feat. Doja Cat),Post Malone(포스트 말론),"Ooh ooh ooh
Ooh ooh

Ooh girl I like you I do
I wanna be your friend go shoppin' in a Benz
I like you I do
I’ll hit you when I land 
can you fit me in your plans?
I like you I do
We went over to France 
then we woke up in Japan
I like you I do (I do mm)

Oh girl I know you only like it fancy (Fancy)
So I pull up in that Maybach Candy
Yeah your boyfriend'll never understand me 
(Understand)
'Cause I’m 'bout to pull his girl like a hammy 
hammy (Wow)
Let's take a lil' dip lil' lady hit PCH 180
Hey I've been thinkin' lately
That I need someone to save me
Now that I'm famous I got hoes all around me
But I need a good girl 
I need someone to ground me
So please bе true don’t fuck around with me
I need someonе to share this heart with me
Fill you up then run it back again 
(Run it back again)

Ooh girl I like you I do (I do)
I wanna be your friend 
go shoppin’ in a Benz (Woo)
I like you I do (I do)
I'll hit you when I land 
can you fit me in your plans?
I like you I do (I do)
We went to bed in France 
then we woke up in Japan
I like you I do (Mm mm I do)

Let me know when you’re free
'Cause I been tryna hit it all week babe
Why you actin' all sweet?
I know that you want little ol' me
I get a little OD but ain’t shit new to a freak?
Let me drop bands put a jewel in ya teeth
He love the way I drip 
turn that pool to the beach
And I coulda copped a Birkin but I cop Celine
Why we got the same taste for the finer things?
Brand new nigga with the same old team
Now he got me on a leash 
'cause he said no strings
You know I'm cool with that
Stole the pussy 
you ain't get sued for that (Get sued sued)
Wonder what a nigga might do for that 
(Do might do)
I could be your Chaka 
where Rufus at? (Where?)
80 in the Benz when that roof go back ayy
They don't wanna see us get too attached
I just got a feelin' that we might be friends 
for a long long time
You're mine and you know I like you for that

Ooh girl I like you I do (I do)
I wanna be your friend go shoppin' in a Benz
I like you I do (I do)
I'll hit you when I land can you fit me 
in your plans? (Baby yeah)
I like you I do (I do)
We went to bed in France 
then we woke up in Japan
I like you I do (I do mm I do)

I just want you I just want you
Your heart's so big but that ass is huge
Just want you
Oh baby do you like me too? (Ooh ooh)

Girl I like you I do (I do)
I wanna be your friend go shoppin' in a Benz
I like you I do (I do mm I do)

I like you
Don't want it now I'm with you
marie 님이 등록해 주신 가사입니다.
가사 오류 제보","2,233"
8,INDUSTRY BABY,Lil Nas X,"Baby back aye
Couple racks aye
Couple Grammys on him
Couple plaques aye
That's a fact aye
Throw it back aye
Throw it back aye
And this one is for the champions
I ain't lost since I began yuh
Funny how you said it was the end yuh
Then I went did it again yuh
I told you long ago on the road
I got what they waitin' for
I don't run from nothin' dog
Get your soldiers tell 'em I ain't layin' low
You was never really rootin' for me anyway
When I'm back up at the top
I wanna hear you say
He don't run from nothin' dog
Get your soldiers
Tell 'em that the break is over
Uh need a
Uh need to get this album done
Need a couple number ones
Need a plaque on every song
Need me like one with Nicki now
Tell a rap nigga I don't see ya ha
I'ma pop nigga like Bieber ha
I don't fuck bitches I'm queer ha
But these niggas bitches like Madea
Yeah yeah yeah
Ay oh let's do it
I ain't fall off I just ain't release my new shit
I blew up now everybody tryna sue me
You call me Nas
But the hood call me Doobie yah
And this one is for the champions
I ain't lost since I began yuh
Funny how you said it was the end yuh
Then I went did it again yuh
I told you long ago on the road
I got what they waitin' for
(I got what they waitin' for)
I don't run from nothin' dog
Get your soldiers tell 'em I ain't layin' low
(Bitch I aint runnin' from no one)
You was never really rootin' for me anyway
When I'm back up at the top
I wanna hear you say
He don't run from nothin' dog
Get your soldiers
Tell 'em that the break is over
My track record so clean
They couldn't wait to just bash me
I must be gettin' too flashy
Y'all shouldn't of let the world gas me
It's too late 'cause I'm here to stay
And these girls know that I'm nasty
I sent her back to her boyfriend
With my handprint on her ass cheek
City talkin' we takin' notes
Tell 'em all to keep makin' posts
Wish he could but he can't get close
OG so proud of me that
He chokin' up while he makin' toasts
I'm the type that you can't control
Said I would then I made it so
I don't clear up rumors
Where's y'all sense of humor?
I'm done makin' jokes
'Cause they got old like baby boomers
Turn my haters to consumers
I make vets feel like they juniors
Say your time is comin' soon
But just like Oklahoma
Mine is comin' sooner
I'm just a late bloomer
I didn't peak in high school
I'm still out here gettin' cuter
All these social networks and computers
Got these pussies walkin' 'round
Like they ain't losers
I told you long ago on the road
I got what they waitin' for
(I got what they waitin' for)
I don't run from nothin' dog
Get your soldiers tell 'em I ain't layin' low
(Bitch I aint runnin' from no one)
You was never really rootin' for me anyway
When I'm back up at the top
I wanna hear you say
He don't run from nothin' dog
Get your soldiers
Tell 'em that the break is over
Yeah
I'm the industry baby
I'm the industry baby
Yeah
sbyr9521 님이 등록해 주신 가사입니다.
가사 오류 제보","2,470"
9,Mulholland Drive,Josef Lee,"She love to call me papi
I don't let her tell nobody
We just rolling in the valley
Got no friends it's just some money
In this ghost town
She love to call me papi (Papi)
On the run she right beside me (Papi)
Keep the cellulars on silent
'Cause the lines be blowing up
To bring her clothes down
Vivid on Ventura make her really go
Nothing lasts forever except a video
Limousines we riding down Mulholland Drive
Ruby eyes and dollar signs that hypnotize
(I got to) slow down
Merry go around in a show town
Everything you got is what you can't be
Even if it's not it's still the same thing
Fuck whoever knows
Slow down
Merry go around in a show town
Everything you got is what you can't be
Even if it's not it's still the same thing
She love to call me papi out in Cali
Doing porn up in the valley wanna tell me
Don't know how she finna bury
All the memory
We just fuck and spend the money
Tryna balance out of balance
Ruby's all a stage name (Got you)
Boobies and a gold chain (It's true)
She just wanna feel the same
Minus all the strip and fame
Vivid on Ventura make her really go
Nothing lasts forever except a video
Limousines we riding down Mulholland Drive
Ruby eyes and dollar signs that hypnotize
(I got to) slow down
Merry go around in a show town
Everything you got is what you can't be
Even if it's not it's still the same thing
Fuck whoever knows
Slow down
Merry go around in a show town
Everything you got is what you can't be
Even if it's not it's still the same thing
Fuck whoever knows (Yeah)
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",963
