,제목,가수,가사,좋아요
0,BETELGEUSE,Yuuri,"空にある何かを見つめてたら
소라니 아루 나니카오 미츠메테타라
하늘에 있는 무언가를 바라보고 있으니까

それは星だって君がおしえてくれた
소레와 호시닷테 키미가 오시에테 쿠레타
그건 별이라고 네가 알려 주었어

まるでそれは僕らみたいに 寄り添ってる
마루데 소레와 보쿠라 미타이니 요리솟테루
마치 그것은우리들처럼 붙어있어

それを泣いたり笑ったり繋いでいく
소레오 나이타리 와랏타리 츠나이데 이쿠
그것을 울면서 웃으면서 이어가고 있어

何十回 何百回 ぶつかりあって
난쥬-카이 난뱌쿠카이 부츠카리앗테
몇 십 번, 몇 백 번 서로 부딪쳐서

何十年 何百年 昔の光が
난쥬-넨 난뱌쿠넨 무카시노 히카리가
몇 십 년, 몇 백 년 옛날의 빛이

星自身も忘れたころに
호시 지신모 와스레타 코로니
별 자신도 잊었을 즈음에

僕らに届いてる
보쿠라니 토도이테루
우리들에게 도착해

僕ら見つけあって 手繰りあって 同じ空
보쿠라 미츠케앗테 타구리앗테 오나지 소라
우리는 서로 찾아내고, 
서로 당기며 같은 하늘을

輝くのだって 二人だって 約束した
카가야쿠노 닷테 후타리닷테 야쿠소쿠시타
빛내자고, 둘이 있자고 약속했어

遥か遠く終わらないべテルギウス
하루카 토오쿠 오와라나이 베테루기우스
아득히 먼 끝나지 않는 베텔기우스

誰かに繋ぐ魔法
다레카니 츠나구 마호-
누군가에게 잇는 마법

僕ら 肩並べ 手取り合って 進んでく
보쿠라 카타나라베 테도리앗테 스슨데쿠
우리는 어깨를 나란히 하고 
손을 마주잡으며 나아가

辛い時だって 泣かないって 誓っただろう
츠라이 토키닷테 나카나잇테 치캇타다로-
힘들 때라고 해도 울지 않겠다고 맹세했잖아

遥か遠く終わらないべテルギウス
하루카 토오쿠 오와라나이 베테루기우스
아득히 먼 끝나지 않는 베텔기우스

君にも見えるだろう 祈りが
키미니모 미에루다로- 이노리가
너에게도 보일 거야, 기도가

記憶を辿るたび 蘇るよ
키오쿠오 타도루 타비 요미가에루요
기억을 더듬을 때마다 되살아나

君がいつだってそこに居てくれること
키미가 이츠닷테 소코니 이테쿠레루 코토
네가 언제라도 그곳에 있어주는 것
 
まるでそれは星の光と 同じように
마루데 소레와 호시노 히카리토 오나지요-니
마치 그건 별의 빛과 똑같이

今日に泣いたり笑ったり繋いでいく
쿄-니 나이타리 와랏타리 츠나이데 이쿠
오늘을 울면서 웃으면서 이어가고 있어

何十回 何百回 ぶつかりあって
난쥬-카이 난뱌쿠카이 부츠카리앗테
몇 십 번, 몇 백 번 부딪쳐서

何十年 何百年 昔の光が
난쥬-넨 난뱌쿠넨 무카시노 히카리가
몇 십 년, 몇 백 년 옛날의 빛이

僕自身も忘れたころに
보쿠 지신모 와스레타 코로니
나 자신도 잊어버렸을 즈음에

僕らを照らしてる
보쿠라오 테라시테루
우리를 비추고 있어

僕ら見つけあって 手繰りあって 同じ空
보쿠라 미츠케앗테 타구리앗테 오나지 소라
우리는 서로 찾아내고, 
서로 당기며 똑같은 하늘을

輝くのだって 二人だって 約束した
카가야쿠노닷테 후타리닷테 야쿠소쿠시타
빛내자고, 둘이 있자고 약속했어

遥か遠く終わらないべテルギウス
하루카 토오쿠 오와라나이 베테루기우스
아득히 먼 끝나지 않는 베텔기우스

誰かに繋ぐ魔法
다레카니 츠나구 마호-
누군가에게 이어지는 마법

どこまで いつまで 生きられるか
도코마데 이츠마데 이키라레루카
어디까지 언제까지 살 수 있을까

君が不安になるたびに強がるんだ
키미가 후안니 나루 타비니 츠요가룬다
네가 불안해 할 때마다 강한 척을 해

大丈夫 僕が横にいるよ
다이죠-부 보쿠가 요코니 이루요
괜찮아, 내가 곁에 있을게

見えない線を繋ごう
미에나이 센오 츠나고-
보이지 않는 선을 잇자

僕ら見つけあって 手繰りあって 同じ空
보쿠라 미츠케앗테 테구리앗테 오나지 소라
우리는 서로 찾아내고, 
서로 당기며 똑같은 하늘을

輝くのだって 二人だって 約束した
카가야쿠노닷테 후타리닷테 야쿠소쿠시타
빛내자고, 둘이 있자고 약속했어

遥か遠く終わらないべテルギウス
하루카 토오쿠 오와라나이 베테루기우스
아득히 먼 끝나지 않는 베텔기우스

誰かに繋ぐ魔法
다레카니 츠나구 마호-
누군가에게 이어지는 마법

僕ら 肩並べ 手取り合って 進んでく
보쿠라 카타나라베 테도리앗테 스슨데쿠
우리는 어깨를 나란히 하고 손을 맞잡고 나아가

辛い時だって 二人だって 誓っただろう
츠라이 토키닷테 후타리닷테 치캇타다로-
힘들 때라고 해도 둘이 있자고 맹세했잖아

遥か遠く終わらないべテルギウス
하루카 토오쿠 오와라나이 베테루기우스
아득히 먼 끝나지 않는 베텔기우스

君にも見えるだろう 祈りが
키미니모 미에루다로- 이노리가
너에게도 보이지, 기도가

空にある何かを見つめてたら
소라니 아루 나니카오 미츠메테타라
하늘에 있는 무언가를 바라보고 있으니까

それは星だって君がおしえてくれた
소레와 호시닷테 키미가 오시에테 쿠레타
그건 별이라고 네가 알려 주었어
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","2,208"
1,Shape of You,Ed Sheeran(에드 시런),"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking faster and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop
Put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date
You and me are thrifty
So go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you
ghy6***@naver.com 님이 등록해 주신 가사입니다.
가사 오류 제보","32,828"
2,Don't Look Back In Anger,Oasis(오아시스),"Slip inside the eye of your mind
Don't you know you might find
A better place to play
You said that you'd never been
But all the things that you've seen
Will slowly fade away
So I start a revolution from my bed
Cos you said the brains
I had went to my head
Step outside summertimes in bloom
Stand up beside the fireplace
Take that look from off your face
You ain't ever gonna burn my heart out
And so sally can wait
She knows it's too late
As we're walking on by
Her soul slides away
But don't look back in anger
I heard you say
Take me to the place where you go
Where nobody knows
If it's night or day
Please don't put your life in the hands
Of a rock 'n' roll band
Who'll throw it all away
Gonna start a revolution from my bed
Coz you said the brains
I had went to my head
Step outside cause summertimes in bloom
Stand up beside the fireplace
Take that look from off your face
Coz you ain't ever gonna burn my heart out
And so sally can wait
She knows it's too late
As she's walking on by
My soul slides away
But don't look back in anger
I heard you say
So sally can wait
She knows it's too late
As we're walking on by
Her soul slides away
But don't look back in anger
I heard you say
So sally can wait
She knows it's too late
As she's walking on by
My soul slides away
But don't look back in anger
Don't look back in anger
I heard you say
At least not today
bee 님이 등록해 주신 가사입니다.
가사 오류 제보","22,811"
3,utatane (선잠),Leina,"焦る右⼿狂うテンポに拍⾞をかける
宥めながら思ったんだ
私も右⼿で焦らされたい
アップダウンアップミュートダウン
筋の通る⽩い指で
⾳を鳴らす激しく絡む
またそんなかんやで遊ばれている
左から右に⾳が抜け落ちる
あっあっあっあっ　今私⽬が合っちゃった
来世は貴⽅のギターになりたい
密着しながら激しく揺れたい
⾳に乗りながら貴⽅に揺らされながら
今世は貴⽅の彼⼥になりたい
夢の中だけでいいから
ああ⽬覚めてしまったおはよう世界
褪せる調⼦狂う思い出せない記憶
振り返って考えたんだ
私達何も始まってない
アップダウンアップミュートダウン
筋の通らない話
⼝⾛る⼿を当てている
またそんなかんやで遊ばれている
あの⼦から私期待が抜け落ちる
あっあっあっあっ今私⽬を合わせちゃった
来世は貴⽅のギターになりたい
密着しながら激しく揺れたい
⾳に乗りながら貴⽅に揺らされながら
今世は貴⽅の彼⼥になりたい
⼀度だけでもいいからさ
ああ気づいてしまったおやすみ世界
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",252
4,Perfect,Ed Sheeran(에드 시런),"I found a love for me
Darling just dive right in
and follow my lead
Well I found a girl
beautiful and sweet
Oh I never knew you were the someone
waiting for me
'Cause we were just kids
when we fell in love
Not knowing what it was
I will not give you up this time
But darling just kiss me slow
your heart is all I own
And in your eyes you're holding mine
Baby I'm dancing in the dark
with you between my arms
Barefoot on the grass
listening to our favorite song
When you said you looked a mess
I whispered underneath my breath
But you heard it darling
you look perfect tonight
Well I found a woman
stronger than anyone I know
She shares my dreams
I hope that someday I'll share her home
I found a love
to carry more than just my secrets
To carry love
to carry children of our own
We are still kids but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling just hold my hand
Be my girl I'll be your man
I see my future in your eyes
Baby I'm dancing in the dark
with you between my arms
Barefoot on the grass
listening to our favorite song
When I saw you in that dress
looking so beautiful
I don't deserve this darling
you look perfect tonight
Baby I'm dancing in the dark
with you between my arms
Barefoot on the grass
listening to our favorite song
I have faith in what I see
Now I know I have met an angel in person
And she looks perfect
no I don't deserve this
You look perfect tonight
sbyr9521 님이 등록해 주신 가사입니다.
가사 오류 제보","8,555"
5,odoriko,Vaundy,"ねぇ、どっかに置いてきたような
事が一つ二つ浮いているけど
ねぇ、ちゃんと拾っておこう
はじけて忘れてしまう前に
回り出した あの子と僕の未来が
止まりどっかで またやり直せたら
回り出した あの子と僕が被害者
づらでどっかを また練り歩けたらな
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
あのね、私あなたに会ったの
夢の中に置いてきたけどね
ねぇ、どうして私が好きなの
一度しか会ったことがないのにね
思いを蹴って
二人でしてんだ
壊(わす)れない愛を歌う
言葉を二人に課して
誓いをたてんだ
忘れない愛を歌うようにね
回り出した あの子と僕の未来が
止まりどっかで またやり直せたら
回り出した あの子と僕が被害者
づらでどっかを また練り歩けたらな
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
とぅるるる とぅるるる とぅるる
回り出した あの子と僕の未来が
止まりどっかで またやり直せたら
回り出した あの子と僕が被害者
づらでどっかを また練り歩けたらな
時代に乗って僕たちは
変わらず愛に生きるだろう
僕らが散って残るのは
変わらぬ愛の歌なんだろうな
時代に乗って僕たちは
変わらず愛に生きるだろう
僕らが散って残るのは
変わらぬ愛の歌なんだろうな
빨간사과 님이 등록해 주신 가사입니다.
가사 오류 제보",982
6,Sugar,Maroon 5(마룬 파이브),"I'm hurting baby I'm broken down
I need your loving loving
I need it now
When I'm without you
I'm something weak
You got me begging begging
I'm on my knees
I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh baby 'Cause I really
Don't care where you are
I just wanna be there where you are
And I gotta get one little taste
Sugar
Yes please
Won't you come and put it down on me
Oh right here cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little a sweetness in my life
Sugar
Yes please
Won't you come and put it down on me
My broken pieces
You put them up
Don't leave me hanging hanging
Come get me some
When I'm without ya
So insecure
You are the one thing one thing
I'm living for
I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh baby cause a bullet
Don't care where you are
I just wanna be there where you are
And I gotta get one little taste
Sugar
Yes please
Won't you come and put it down on me
Oh right here cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little a sweetness in my life
Sugar
Yes please
Won't you come and put it down on me
Yeah I want that red velvet
I want that sugar sweet
Don't let nobody touch it
Unless that somebody is me
I gotta be a man
There ain't no other way
Cause girl you're hotter than
Southern california bay
I don't wanna play no games
I don't gotta be afraid
Don't give all that shy sh t
No make up on that's my
Sugar yes please
Won't you come and put it down on me
Oh right here cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little a sweetness in my life
Sugar
Yes please
Won't you come and put it down on me
Sugar
Yes please
Won't you come and put it down on me
Oh right here cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little a sweetness in my life
Sugar
Yes please
Won't you come and put it down on me
Down on me down on me
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","15,984"
7,High Hopes,Panic! At The Disco(패닉 앳 더 디스코),"Had to have high high hopes for a living
Shooting for the stars
When I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high high hopes
Had to have high high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high high hopes
Mama said
Fulfill the prophecy
Be something greater
Go make a legacy
Manifest destiny
Back in the days
We wanted everything wanted everything
Mama said
Burn your biographies
Rewrite your history
Light up your wildest dreams
Museum victories everyday
We wanted everything wanted everything
Mama said don't give up
It's a little complicated
All tied up no more love
And I'd hate to see you waiting
Had to have high high hopes for a living
Shooting for the stars
When I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high high hopes
Had to have high high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high high hopes
Mama said
It's uphill for oddities
The stranger crusaders
Ain't ever wannabes
The weird and the novelties
Don't ever change
We wanted everything wanted everything
Stay up on that rise
Stay up on that rise and never come down
Stay up on that rise
Stay up on that rise and never come down
Mama said don't give up
It's a little complicated
All tied up no more love
And I'd hate to see you waiting
They say it's all been done
But they haven't seen the best of me
So I got one more run
And it's gonna be a sight to see
Had to have high high hopes for a living
Shooting for the stars
When I couldn't make a killing
Didn't have a dime
But I always had a vision
Always had high high hopes
Had to have high high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high high hopes
Had to have high
High hopes for a living
Shooting for the stars
When I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high high hopes
Had to have high high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high high hopes
sbyr9521 님이 등록해 주신 가사입니다.
가사 오류 제보","5,951"
8,"10,000 Hours",Dan & Shay(댄 & 셰이),"Do you love the rain, does it make you dance
When you're drunk with
your friends at a party?
What's your favorite song,
does it make you smile?
Do you think of me?

When you close your eyes,
tell me, what are you dreamin'?
Everything, I wanna know it all

I'd spend ten thousand hours
and ten thousand more
Oh, if that's what it takes to learn
that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)

Do you miss the road that you grew up on?
Did you get your middle name
from your grandma?
When you think about your forever
now, do you think of me?

When you close your eyes,
tell me, what are you dreamin'?
Everything, I wanna know it all

I'd spend ten thousand hours
and ten thousand more
Oh, if that's what it takes to learn
that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)

Ooh, want the good and the bad
and everything in between
Ooh, gotta cure my curiosity
Ooh, yeah

I'd spend ten thousand hours
and ten thousand more
Oh, if that's what it takes to learn
that sweet heart of yours
(Sweet heart of yours)
And I might never get there,
but I'm gonna try (Yeah)
If it's ten thousand hours or the rest of my life
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)
Yeah
And I...
Do you love the rain, does it make you dance?
I'm gonna love you (I'm gonna love you)
I'm gonna love you
lion0129 님이 등록해 주신 가사입니다.
가사 오류 제보","6,183"
9,내가 죽으려고 생각한 것은 (僕が死のうと思ったのは),Nakashima Mika(나카시마 미카/中島美嘉),"僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

ウミネコが桟橋で鳴いたから
우미네코가 산바시데 나이타카라
괭이갈매기가 부두에서 울었으니까

波の随に浮かんで消える
나미노 마니마니 우칸데 키에루
파도가 치는 대로 떠내려가는

過去も啄ばんで飛んでいけ
카코모 츠이반데 톤데 이케
과거도 쪼아 먹고 날아가라

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

誕生日に杏の花が咲いたから 
탄죠비니 안즈노 하나가 사이타카라
생일에 살구꽃이 피었으니까

その木漏れ日でうたた寝したら 
소노 코모레비데 우타타네 시타라
그 햇살로 선잠에 들면

虫の死骸と土になれるかな
무시노 시가이토 츠치니 나레루카나
죽은 벌레와 함께 흙이 될 수 있을까

薄荷飴 漁港の灯台 
핫카아메 교코노 토다이
박하사탕 어항의 등대

錆びたアーチ橋 捨てた自転車
사비타 아치쿄 스테타 지텐샤
녹슨 아치교 버려진 자전거

木造の駅のストーブの前で 
모쿠조노 에키노 스토브노 마에데
나무로 지은 역의 난로 앞에서

どこにも旅立てない心 
도코니모 타비다테나이 코코로
어디로도 떠나지 못하는 마음

今日はまるで昨日みたいだ 
쿄와 마루데 키노 미타이다
오늘은 마치 어제 같아

明日を変えるなら今日を変えなきゃ 
아스오 카에루나라 쿄오 카에나캬
내일을 바꾸려면 오늘을 바꿔야지

分かってる 分かってるけれど 
와캇테루 와캇테루케레도
알고 있어 알고 있지만

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

心が空っぽになったから
코코로가 카랏포니 낫타카라
마음이 텅 비었으니까

満たされないと泣いているのは 
미타사레나이토 나이테 이루노와
채워지지 않는다며 울고 있는 건

きっと満たされたいと願うから 
킷토 미타사레타이토 네가우카라
분명 채워지고 싶다고 소망하니까

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

靴紐が解けたから
쿠츠히모가 호도케타카라
구두끈이 풀렸으니까

結びなおすのは苦手なんだよ 
무스비나오스노와 니가테난다요
다시 묶는 건 어려워

人との繋がりもまた然り
히토토노 츠나가리모 마타 시카리
사람과의 인연도 마찬가지

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

少年が僕を見つめていたから
쇼넨가 보쿠오 미츠메테이타카라
소년이 나를 바라보고 있었으니까

ベッドの上で土下座してるよ 
벳도노 우에데 도게자 시테루요
침대 위에서 조아리고 있어

あの日の僕にごめんなさいと 
아노히노 보쿠니 고멘나사이토
그날의 나에게 미안하다고

パソコンの薄明かり 
파소콘노 우스아카리
컴퓨터의 희미한 불빛

上階の部屋の生活音
죠카이노 헤야노 세가츠온
윗방의 생활음

インターフォンのチャイム音
인타혼노 챠이무노 오토
인터폰의 차임벨 소리

耳を塞ぐ鳥かごの少年
미미오 후사구 토리카고노 쇼넨
귀를 막는 새장 속의 소년

見えない敵と戦ってる
미에나이 테키토 타타캇테루
보이지 않는 적과 싸우고 있는

六畳一間のドンキホーテ
로쿠죠 히토마노 돈 키호테
여섯 장 한 칸 방의 돈 키호테

ゴールはどうせ醜いものさ 
고루와 도세 미니쿠이 모노사
목표는 어차피 볼품없는 거야

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

冷たい人と言われたから 
츠메타이 히토토 이와레타카라
차가운 사람이라는 말을 들었으니까

愛されたいと泣いているのは 
아이사레타이토 나이테 이루노와
사랑받고 싶다며 울고 있는 건

人の温もりを知ってしまったから
히토노 누쿠모리오 싯테 시맛타카라
사람의 따뜻함을 알아 버렸으니까

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

あなたが綺麗に笑うから 
아나타가 키레이니 와라우카라
네가 아름답게 웃었으니까

死ぬことばかり考えてしまうのは 
시누코토바카리 캉가에테 시마우노와
죽는 것만 생각하고 마는 건

きっと生きる事に真面目すぎるから 
킷토 이키루 코토니 마지메스기루카라
분명 사는 것에 너무 진지하니까

僕が死のうと思ったのは 
보쿠가 시노토 오못타노와
내가 죽으려고 생각했던 건

まだあなたに出会ってなかったから
마다 아나타니 데앗테 나캇타카라
아직 너를 만나지 못했으니까

あなたのような人が生まれた 
아나타노 요나 히토가 우마레타
너 같은 사람이 태어난

世界を少し好きになったよ 
세카이오 스코시 스키니 낫타요
세상을 조금 좋아하게 됐어

あなたのような人が生きてる
아나타노 요나 히토가 이키테루
너 같은 사람이 살고 있는

世界に少し期待するよ
세카이니 스코시 키타이 스루요
세상에게 조금 기대해 볼게
musiyou28 님이 등록해 주신 가사입니다.
가사 오류 제보","1,100"
